ID,name,course,cgpa,mobilenumber,mail
11,Casie Hairon,Science,1.03,1461401022,chairon0@google.co.uk
2,Fitz Feacham,History,3.29,5241722071,ffeacham1@netscape.com
3,Karlen Nuzzti,History,3.76,2989414175,knuzzti2@devhub.com
4,Efren Excell,Math,2.56,4044398838,eexcell3@ucla.edu
5,Paige Lawrenson,Math,3.47,6717992117,plawrenson4@columbia.edu
6,Glyn Rauprich,History,2.22,8647352601,grauprich5@multiply.com
7,Didi Dykas,Math,1.94,4019323720,ddykas6@baidu.com
8,Karine Sijmons,Math,1.12,9605189424,ksijmons7@upenn.edu
9,Lorens Slipper,English,1.6,1694821106,lslipper8@amazon.co.uk
10,Stillman Rainforth,Math,1.11,2378362694,srainforth9@yale.edu
